Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
SLM,SLM Corporation,10.62,4638843134,n/a,United States,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/slm
SLMBP,SLM Corporation,67.5488,270195200,n/a,United States,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/slmbp
STRL,Sterling Construction Company Inc,13.62,362832918.3,n/a,United States,n/a,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/strl
TBBK,"The Bancorp, Inc.",8.75,493903270,n/a,United States,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/tbbk
WBA,"Walgreens Boots Alliance, Inc.",60.68,57248226580,n/a,United States,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/wba
WEA,Western Asset Bond Fund,12.7,151190325,n/a,United States,2002,n/a,n/a,https://www.nasdaq.com/symbol/wea
EMD,Western Asset Emerging Markets Debt Fund Inc,13.68,831005444.2,n/a,United States,n/a,n/a,n/a,https://www.nasdaq.com/symbol/emd
EHI,Western Asset Global High Income Fund Inc,9.33,414246971.1,n/a,United States,2003,n/a,n/a,https://www.nasdaq.com/symbol/ehi
WIW,Western Asset/Claymore U.S Treasury Inflation Prot Secs Fd 2,10.6,648551820.4,n/a,United States,2004,n/a,n/a,https://www.nasdaq.com/symbol/wiw
WIA,Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd,10.96,319514907.2,n/a,United States,2003,n/a,n/a,https://www.nasdaq.com/symbol/wia
WSFS,WSFS Financial Corporation,42.16,2271520596,n/a,United States,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/wsfs
